ciu_id,ciudad_nombre,estado,Geo. coordinates
1,Mexico City,Mexico City,19°25′57″N 99°07′52″W
2,Tijuana,Baja California,32°32′05″N 117°02′37″W
3,Ecatepec,State of Mexico,19°36′35″N 99°03′36″W
4,León,Guanajuato,21°07′11″N 101°40′50″W
5,Puebla,Puebla,19°02′43″N 98°11′51″W
6,Ciudad Juárez,Chihuahua,31°44′22″N 106°29′13″W
7,Guadalajara,Jalisco,20°40′35″N 103°20′32″W
8,Monterrey,Nuevo León,25°40′17″N 100°18′31″W
9,Nezahualcóyotl,State of Mexico,19°23′59″N 98°59′22″W
10,Zapopan,Jalisco,20°43′14″N 103°23′18″W
11,Chihuahua,Chihuahua,28°38′07″N 106°05′20″W
12,Mérida,Yucatán,20°58′04″N 89°37′18″W
13,Naucalpan,State of Mexico,19°28′31″N 99°14′16″W
14,Cancún,Quintana Roo,21°09′38″N 86°50′51″W
15,Saltillo,Coahuila,25°26′00″N 101°00′00″W
16,Aguascalientes,Aguascalientes,21°52′51″N 102°17′46″W
17,Hermosillo,Sonora,29°05′56″N 110°57′15″W
18,Mexicali,Baja California,32°39′48″N 115°28′04″W
19,San Luis Potosí,San Luis Potosí,22°08′59″N 100°58′30″W
20,Culiacán,Sinaloa,24°47′31″N 107°23′53″W
21,Querétaro,Querétaro,20°35′17″N 100°23′17″W
22,Morelia,Michoacán,19°42′08″N 101°11′08″W
23,Chimalhuacán,State of Mexico,19°26′15″N 98°57′15″W
24,Reynosa,Tamaulipas,26°05′32″N 98°16′40″W
25,Torreón,Coahuila,25°32′40″N 103°26′30″W
26,Tlalnepantla,State of Mexico,19°32′12″N 99°11′41″W
27,Acapulco,Guerrero,16°51′42″N 99°53′11″W
28,Tlaquepaque,Jalisco,20°38′19″N 103°18′26″W
29,Guadalupe,Nuevo León,25°40′45″N 100°14′06″W
30,Durango,Durango,24°01′22″N 104°39′16″W
31,Tuxtla Gutiérrez,Chiapas,16°45′11″N 93°06′56″W
32,Cuautitlán Izcalli,State of Mexico,19°38′46″N 99°12′41″W
33,Veracruz,Veracruz,19°11′25″N 96°09′12″W
34,Ciudad Apodaca,Nuevo León,25°46′54″N 100°11′20″W
35,Ciudad López Mateos,State of Mexico,19°33′40″N 99°14′49″W
36,Matamoros,Tamaulipas,25°52′47″N 97°30′15″W
37,General Escobedo,Nuevo León,25°48′31″N 100°19′37″W
38,Irapuato,Guanajuato,20°40′27″N 101°20′51″W
39,Xalapa,Veracruz,19°32′17″N 96°54′33″W
40,Tonalá,Jalisco,20°37′24″N 103°14′44″W
41,Mazatlán,Sinaloa,23°14′29″N 106°24′35″W
42,Nuevo Laredo,Tamaulipas,27°29′11″N 99°30′29″W
43,San Nicolás,Nuevo León,25°44′30″N 100°18′08″W
44,Ojo de Agua,State of Mexico,19°40′49″N 99°00′36″W
45,Xico,State of Mexico,19°17′30″N 98°56′20″W
46,Celaya,Guanajuato,20°31′44″N 100°48′54″W
47,Tepic,Nayarit,21°30′59″N 104°53′39″W
48,Ixtapaluca,State of Mexico,19°19′07″N 98°52′56″W
49,Cuernavaca,Morelos,18°55′07″N 99°14′03″W
50,Villahermosa,Tabasco,17°59′21″N 92°55′41″W
51,Ciudad Victoria,Tamaulipas,23°44′10″N 99°08′46″W
52,Ensenada,Baja California,31°51′28″N 116°36′21″W
53,Ciudad Obregón,Sonora,27°29′21″N 109°56′06″W
54,Ciudad Nicolás Romero,State of Mexico,19°37′30″N 99°18′51″W
55,Soledad,San Luis Potosí,22°10′59″N 100°56′27″W
